# Constructed from biom file
#OTU ID	ERR4264700	ERR4264711	ERR4264748	ERR4264769	ERR4264780	ERR4264831
d69124fd7d2ae4a2b1263211c94248e4	333.0	79.0	91.0	12.0	0.0	20.0
8267c907c188835f026fc07bcc8c81c5	0.0	0.0	9.0	0.0	159.0	352.0
4f697f718094980237f7a2fec8750bbd	358.0	52.0	82.0	0.0	0.0	27.0
5bbeff34157d3fa1f59c6d43f4cb0827	0.0	23.0	76.0	0.0	40.0	380.0
08971307090615dcbd0e5933e09d9aae	0.0	34.0	0.0	0.0	0.0	478.0
e8fdd4a8a7b6236f26db6551014d344a	33.0	13.0	69.0	53.0	252.0	89.0
5c11a6f0c8dc0b1bd8e3da82061d50e9	0.0	0.0	29.0	0.0	236.0	223.0
40f80939e6303ce27ee4934e5332b44d	109.0	36.0	29.0	239.0	0.0	72.0
38f9479d2f37d1036274704b09d2e3c5	52.0	88.0	124.0	27.0	150.0	34.0
78b0f8276e99dab5f0decb4c8c10d7bf	50.0	408.0	0.0	5.0	0.0	0.0
40469692f58f993d1cf7d035e65e7678	0.0	25.0	82.0	0.0	38.0	318.0
f2735c286490a71c359f4d5db6bdd217	56.0	154.0	0.0	0.0	168.0	82.0
8a08ef7cd0060211b34efdc87b07732e	0.0	0.0	0.0	0.0	0.0	456.0
2a231f08891292ebf633fb67c2243110	42.0	33.0	84.0	199.0	65.0	32.0
eeed4fda23a3dfd63d55bdb3fa853f99	69.0	90.0	86.0	67.0	0.0	127.0
14d30b85f6c5f64a0f07964095bc6034	74.0	0.0	14.0	249.0	22.0	71.0
28319bb94dc4d8fcd59ee2cedcb25c92	24.0	159.0	14.0	0.0	158.0	75.0
b57949f1ee4b1be21ef3c15b21a440fe	8.0	35.0	0.0	0.0	0.0	377.0
474ef26171c3634cb2947ca56d4325e2	0.0	0.0	0.0	193.0	0.0	226.0
d4535a084421c28e38562926571e17bf	303.0	32.0	60.0	0.0	0.0	20.0
ad9a6343a04a31c1ec53dfd69875c5f0	146.0	65.0	11.0	0.0	132.0	57.0
067953880b9d48bca3c39f9f57d15789	0.0	27.0	35.0	156.0	189.0	0.0
3d851ec0c09670864ce9be8aa0a965c3	34.0	35.0	150.0	115.0	49.0	22.0
1449e31ddb2027e01d91dfa01f1d3b84	0.0	0.0	0.0	0.0	405.0	0.0
0c6bd870c555052543bb96bad2effa4f	200.0	0.0	0.0	194.0	3.0	0.0
83aded41dc4a430ee13581554b3eb3f3	0.0	0.0	0.0	0.0	0.0	390.0
7ecca6888a833db34bf759fc9922b35c	0.0	0.0	8.0	126.0	38.0	210.0
be8f1b9de5ad130e40b4d8a6efd8edda	0.0	0.0	0.0	0.0	381.0	0.0
547f7f631b685c5f07486e3170f16ea4	62.0	114.0	55.0	7.0	13.0	124.0
76fc4961fc0d03b98855a86cb4a76a05	0.0	54.0	35.0	66.0	173.0	46.0
39588ae5a2fba3ddc3cad7a75d195554	64.0	88.0	84.0	40.0	0.0	88.0
3751619451f077097aaee8750e2d2cbd	15.0	0.0	341.0	0.0	0.0	4.0
96c394d1348b85ff6ade7158a6f3b6af	0.0	0.0	0.0	0.0	359.0	0.0
